# m(block_size)  nblocks  sigma_mean_E_over_L2
1.000000000000000000e+00 9.999898000000000000e+06 2.694131196390169047e-05
2.000000000000000000e+00 4.999949000000000000e+06 2.835119876861652934e-05
4.000000000000000000e+00 2.499974000000000000e+06 2.959043431576746576e-05
8.000000000000000000e+00 1.249987000000000000e+06 3.045548734950461289e-05
1.600000000000000000e+01 6.249930000000000000e+05 3.097299614547933727e-05
3.200000000000000000e+01 3.124960000000000000e+05 3.122740101005146347e-05
6.400000000000000000e+01 1.562480000000000000e+05 3.139565562557023891e-05
1.280000000000000000e+02 7.812400000000000000e+04 3.150201439227622740e-05
2.560000000000000000e+02 3.906200000000000000e+04 3.150882536415903454e-05
5.120000000000000000e+02 1.953100000000000000e+04 3.157761850246371523e-05
1.024000000000000000e+03 9.765000000000000000e+03 3.163261985223096278e-05
2.048000000000000000e+03 4.882000000000000000e+03 3.154405208464437218e-05
4.096000000000000000e+03 2.441000000000000000e+03 3.176639601083911169e-05
8.192000000000000000e+03 1.220000000000000000e+03 3.109790929840091560e-05
1.638400000000000000e+04 6.100000000000000000e+02 3.079046988487866182e-05
3.276800000000000000e+04 3.050000000000000000e+02 3.175002305715703333e-05
6.553600000000000000e+04 1.520000000000000000e+02 3.305434953773162308e-05
1.310720000000000000e+05 7.600000000000000000e+01 3.323846413535539590e-05
2.621440000000000000e+05 3.800000000000000000e+01 3.292546021145273475e-05
5.242880000000000000e+05 1.900000000000000000e+01 3.256991131969666655e-05
1.048576000000000000e+06 9.000000000000000000e+00 3.356124555116087906e-05
2.097152000000000000e+06 4.000000000000000000e+00 3.491424066769740505e-05
4.194304000000000000e+06 2.000000000000000000e+00 4.927635192863988323e-05
